UF;Ano;Idade;Mulheres;Filhos tidos no ultimo ano
Espírito Santo;2011;20 a 24 anos;162078;14283
Espírito Santo;2011;25 a 29 anos;170063;13931
Espírito Santo;2011;30 a 34 anos;159311;9880
Espírito Santo;2011;35 a 39 anos;138853;4322
Espírito Santo;2011;40 a 44 anos;128508;957
Espírito Santo;2011;45 a 49 anos;120970;52
Espírito Santo;2011;50 a 54 anos;107319;8
Espírito Santo;2011;55 a 59 anos;86757;1
Espírito Santo;2018;10 a 14 anos;147690;363
Espírito Santo;2018;15 a 19 anos;158315;7669
Espírito Santo;2018;20 a 24 anos;160724;13014
Espírito Santo;2018;25 a 29 anos;163730;13718
Espírito Santo;2018;30 a 34 anos;169731;12981
Espírito Santo;2018;35 a 39 anos;167376;7615
Espírito Santo;2018;40 a 44 anos;147409;1669
Espírito Santo;2018;45 a 49 anos;130918;80
Espírito Santo;2018;50 a 54 anos;122747;3
Espírito Santo;2018;55 a 59 anos;111114;0
Rio de Janeiro;2011;10 a 14 anos;637103;1685,022906
Rio de Janeiro;2011;15 a 19 anos;640666;38059,51737
Rio de Janeiro;2011;20 a 24 anos;616731;56395,76662
Rio de Janeiro;2011;25 a 29 anos;664074;55080,74875
Rio de Janeiro;2011;30 a 34 anos;663130;42948,58383
Rio de Janeiro;2011;35 a 39 anos;619075;20973,2851
Rio de Janeiro;2011;40 a 44 anos;582677;5196,070633
Rio de Janeiro;2011;45 a 49 anos;579919;333,0045267
Rio de Janeiro;2011;50 a 54 anos;541400;20,00027188
Rio de Janeiro;2011;55 a 59 anos;466987;0
Rio de Janeiro;2018;10 a 14 anos;552981;1452,019438
Rio de Janeiro;2018;15 a 19 anos;621267;32373,43338
Rio de Janeiro;2018;20 a 24 anos;657797;55524,74331
Rio de Janeiro;2018;25 a 29 anos;628254;52269,69973
Rio de Janeiro;2018;30 a 34 anos;635101;45475,60878
Rio de Janeiro;2018;35 a 39 anos;667798;29381,39333
Rio de Janeiro;2018;40 a 44 anos;631387;7164,095905
Rio de Janeiro;2018;45 a 49 anos;583935;428,0057297
Rio de Janeiro;2018;50 a 54 anos;563804;26,00034807
Rio de Janeiro;2018;55 a 59 anos;541982;4,000053548
São Paulo;2011;10 a 14 anos;1667219;3346,087789
São Paulo;2011;15 a 19 anos;1677948;86954,28137
São Paulo;2011;20 a 24 anos;1766132;151336,9705
São Paulo;2011;25 a 29 anos;1894199;160137,2014
São Paulo;2011;30 a 34 anos;1821367;127540,3462
São Paulo;2011;35 a 39 anos;1669829;64289,68673
São Paulo;2011;40 a 44 anos;1553065;15281,40093
São Paulo;2011;45 a 49 anos;1475042;898,0235609
São Paulo;2011;50 a 54 anos;1325162;49,00128562
São Paulo;2011;55 a 59 anos;1102821;7,00018366
São Paulo;2018;10 a 14 anos;1542354;2334,038096
São Paulo;2018;15 a 19 anos;1690717;68595,11961
São Paulo;2018;20 a 24 anos;1720866;136860,2338
São Paulo;2018;25 a 29 anos;1759032;147394,4058
São Paulo;2018;30 a 34 anos;1850770;143603,3439
São Paulo;2018;35 a 39 anos;1864827;91382,49155
São Paulo;2018;40 a 44 anos;1717253;21230,34652
São Paulo;2018;45 a 49 anos;1574733;1212,019783
São Paulo;2018;50 a 54 anos;1474748;50,00081612
São Paulo;2018;55 a 59 anos;1354238;6,000097934
Paraná;2011;10 a 14 anos;442085;1229,048175
Paraná;2011;15 a 19 anos;459507;27760,08812
Paraná;2011;20 a 24 anos;453852;39715,55674
Paraná;2011;25 a 29 anos;460749;38299,50123
Paraná;2011;30 a 34 anos;435128;28777,12798
Paraná;2011;35 a 39 anos;405843;13780,54016
Paraná;2011;40 a 44 anos;395685;3291,129003
Paraná;2011;45 a 49 anos;374252;213,0083493
Paraná;2011;50 a 54 anos;320494;6,000235193
