UF;Ano;Obitos Obs;Prop Incremento
Tocantins;2007;18;
Maranhão;2007;124;
Piauí;2007;39;
Ceará;2007;84;
Rio Grande do Norte;2007;14;
Paraíba;2007;20;
Pernambuco;2007;94;
Alagoas;2007;25;
Sergipe;2007;13;
Bahia;2007;146;
Minas Gerais;2007;95;
Espírito Santo;2007;21;
Rio de Janeiro;2007;172;
São Paulo;2007;252;
Paraná;2007;88;
Santa Catarina;2007;34;
Rio Grande do Sul;2007;70;
Mato Grosso do Sul;2007;22;
Mato Grosso;2007;29;
Goiás;2007;29;
Distrito Federal;2007;17;
Brasil;2008;1681;
Rondônia;2008;12;
Acre;2008;6;
Amazonas;2008;41;
Roraima;2008;9;
Pará;2008;90;
Amapá;2008;8;
Tocantins;2008;22;
Maranhão;2008;121;
Piauí;2008;62;
Ceará;2008;67;
Rio Grande do Norte;2008;22;
Paraíba;2008;26;
Pernambuco;2008;97;
Alagoas;2008;27;
Sergipe;2008;24;
Bahia;2008;172;
Minas Gerais;2008;104;
Espírito Santo;2008;28;
Rio de Janeiro;2008;150;
São Paulo;2008;246;
Paraná;2008;88;
Santa Catarina;2008;32;
Rio Grande do Sul;2008;82;
Mato Grosso do Sul;2008;34;
Mato Grosso;2008;42;
Goiás;2008;43;
Distrito Federal;2008;26;
Brasil;2009;1872;0,26
Rondônia;2009;17;-0,11
Acre;2009;7;0,75
Amazonas;2009;67;0,08
Roraima;2009;10;0,11
Pará;2009;82;0,05
Amapá;2009;4;0
Tocantins;2009;22;0,22
Maranhão;2009;104;0,03
Piauí;2009;44;0,16
Ceará;2009;87;0,53
Rio Grande do Norte;2009;25;0,09
Paraíba;2009;33;0,14
Pernambuco;2009;88;0,42
Alagoas;2009;19;0,9
Sergipe;2009;36;0,16
Bahia;2009;195;0,18
Minas Gerais;2009;109;0,11
Espírito Santo;2009;44;0,26
Rio de Janeiro;2009;203;0,8
São Paulo;2009;339;0,38
Paraná;2009;107;0,39
Santa Catarina;2009;19;-0,05
Rio Grande do Sul;2009;75;0,12
Mato Grosso do Sul;2009;36;-0,05
Mato Grosso;2009;35;0,13
Goiás;2009;41;0,24
Distrito Federal;2009;24;0,09
Brasil;2010;1719;0,2
Rondônia;2010;16;0
Acre;2010;6;0
Amazonas;2010;70;0,06
Roraima;2010;1;0
Pará;2010;78;0,07
Amapá;2010;3;0
Tocantins;2010;18;0,29
Maranhão;2010;123;0,03
Piauí;2010;47;0,02
Ceará;2010;91;0,6
Rio Grande do Norte;2010;16;0,23
Paraíba;2010;29;0,07
Pernambuco;2010;76;0,21
Alagoas;2010;32;0,07
Sergipe;2010;23;0,28
Bahia;2010;161;0,17
Minas Gerais;2010;119;0,24
Espírito Santo;2010;34;0,55
Rio de Janeiro;2010;180;0,61
São Paulo;2010;271;0,27
Paraná;2010;90;0,22
Santa Catarina;2010;24;0
Rio Grande do Sul;2010;79;0,05
Mato Grosso do Sul;2010;30;-0,12
Mato Grosso;2010;35;0,25
Goiás;2010;47;0,04
Distrito Federal;2010;20;0
Brasil;2011;1610;0,24
Rondônia;2011;15;0,25
Acre;2011;6;0,5
Amazonas;2011;52;0,08
Roraima;2011;6;0,2
Pará;2011;85;0,09
Amapá;2011;6;0
Tocantins;2011;26;0,24
Maranhão;2011;105;0,06
Piauí;2011;45;0,13
Ceará;2011;88;0,57
Rio Grande do Norte;2011;33;0,43
Paraíba;2011;31;0,15
Pernambuco;2011;79;0,32
Alagoas;2011;28;0,04
Sergipe;2011;29;0,45
Bahia;2011;149;0,16
Minas Gerais;2011;95;0,22
Espírito Santo;2011;32;0,33
Rio de Janeiro;2011;164;0,69
São Paulo;2011;249;0,3
Paraná;2011;79;0,32
Santa Catarina;2011;22;0,1
Rio Grande do Sul;2011;67;0,08
Mato Grosso do Sul;2011;29;0
Mato Grosso;2011;34;0,06
Goiás;2011;37;0,09
Distrito Federal;2011;19;-0,05
Brasil;2012;1583;0,27
Rondônia;2012;17;0,55
Acre;2012;9;0,8
Amazonas;2012;50;0,02
