UF;Ano;Grupos de idade;Mulheres;SINASC
Alagoas;2000;20 a 24 anos;140682;21414
Alagoas;2000;25 a 29 anos;113356;13782
Alagoas;2000;30 a 34 anos;102714;7696
Alagoas;2000;35 a 39 anos;89847;3825
Alagoas;2000;40 a 44 anos;74462;1203
Alagoas;2000;45 a 49 anos;62522;161
Alagoas;2000;50 a 54 anos;50722;4
Alagoas;2000;55 a 59 anos;41291;1
Alagoas;2010;10 a 14 anos;167019;875
Alagoas;2010;15 a 19 anos;156806;12286
Alagoas;2010;20 a 24 anos;149294;15987
Alagoas;2010;25 a 29 anos;141271;12267
Alagoas;2010;30 a 34 anos;128946;7428
Alagoas;2010;35 a 39 anos;111709;3409
Alagoas;2010;40 a 44 anos;102115;904
Alagoas;2010;45 a 49 anos;85210;78
Alagoas;2010;50 a 54 anos;71684;4
Alagoas;2010;55 a 59 anos;60200;1
Sergipe;2000;10 a 14 anos;101237;427
Sergipe;2000;15 a 19 anos;102121;9107
Sergipe;2000;20 a 24 anos;89174;12590
Sergipe;2000;25 a 29 anos;75538;9101
Sergipe;2000;30 a 34 anos;69083;5543
Sergipe;2000;35 a 39 anos;60467;2723
Sergipe;2000;40 a 44 anos;47928;791
Sergipe;2000;45 a 49 anos;39721;83
Sergipe;2000;50 a 54 anos;32349;1
Sergipe;2000;55 a 59 anos;25987;0
Sergipe;2010;10 a 14 anos;102294;433
Sergipe;2010;15 a 19 anos;100857;7107
Sergipe;2010;20 a 24 anos;101799;9490
Sergipe;2010;25 a 29 anos;97490;8781
Sergipe;2010;30 a 34 anos;88689;6022
Sergipe;2010;35 a 39 anos;77912;3024
Sergipe;2010;40 a 44 anos;71092;851
Sergipe;2010;45 a 49 anos;59923;70
Sergipe;2010;50 a 54 anos;48818;5
Sergipe;2010;55 a 59 anos;39093;2
Bahia;2000;10 a 14 anos;738154;2622
Bahia;2000;15 a 19 anos;784122;61804
Bahia;2000;20 a 24 anos;652942;78884
Bahia;2000;25 a 29 anos;518217;48798
Bahia;2000;30 a 34 anos;473931;28400
Bahia;2000;35 a 39 anos;424803;13908
Bahia;2000;40 a 44 anos;362624;4541
Bahia;2000;45 a 49 anos;293134;518
Bahia;2000;50 a 54 anos;248755;6
Bahia;2000;55 a 59 anos;203310;1
Bahia;2010;10 a 14 anos;657784;2578
Bahia;2010;15 a 19 anos;658343;43413
Bahia;2010;20 a 24 anos;657261;57934
Bahia;2010;25 a 29 anos;666365;52853
Bahia;2010;30 a 34 anos;598062;35297
Bahia;2010;35 a 39 anos;504427;15727
Bahia;2010;40 a 44 anos;464361;4250
Bahia;2010;45 a 49 anos;402448;307
Bahia;2010;50 a 54 anos;347058;27
Bahia;2010;55 a 59 anos;279851;3
Minas Gerais;2000;10 a 14 anos;878342;1767
Minas Gerais;2000;15 a 19 anos;922641;59508
Minas Gerais;2000;20 a 24 anos;836592;93435
Minas Gerais;2000;25 a 29 anos;718982;70859
Minas Gerais;2000;30 a 34 anos;701168;46118
Minas Gerais;2000;35 a 39 anos;683598;22472
Minas Gerais;2000;40 a 44 anos;595452;5730
Minas Gerais;2000;45 a 49 anos;490602;494
Minas Gerais;2000;50 a 54 anos;390403;5
Minas Gerais;2000;55 a 59 anos;316235;1
Minas Gerais;2010;10 a 14 anos;829936;1647
Minas Gerais;2010;15 a 19 anos;850598;41256
Minas Gerais;2010;20 a 24 anos;859199;67216
Minas Gerais;2010;25 a 29 anos;853042;66740
Minas Gerais;2010;30 a 34 anos;806047;50768
Minas Gerais;2010;35 a 39 anos;722023;24667
Minas Gerais;2010;40 a 44 anos;701852;6216
Minas Gerais;2010;45 a 49 anos;666332;400
Minas Gerais;2010;50 a 54 anos;583383;26
Minas Gerais;2010;55 a 59 anos;481438;1
Espírito Santo;2000;10 a 14 anos;155604;454
Espírito Santo;2000;15 a 19 anos;164572;12693
Espírito Santo;2000;20 a 24 anos;151943;18591
Espírito Santo;2000;25 a 29 anos;129401;13331
Espírito Santo;2000;30 a 34 anos;124616;7838
Espírito Santo;2000;35 a 39 anos;119976;3510
Espírito Santo;2000;40 a 44 anos;104755;777
Espírito Santo;2000;45 a 49 anos;83904;50
Espírito Santo;2000;50 a 54 anos;62785;0
Espírito Santo;2000;55 a 59 anos;48646;0
Espírito Santo;2010;10 a 14 anos;148835;390
Espírito Santo;2010;15 a 19 anos;150145;8755
Espírito Santo;2010;20 a 24 anos;160595;14236
Espírito Santo;2010;25 a 29 anos;161730;13855
Espírito Santo;2010;30 a 34 anos;151806;9819
Espírito Santo;2010;35 a 39 anos;132299;4289
Espírito Santo;2010;40 a 44 anos;125114;953
Espírito Santo;2010;45 a 49 anos;117041;52
Espírito Santo;2010;50 a 54 anos;102951;8
Espírito Santo;2010;55 a 59 anos;82830;1
