UF;Grupos de idade;Mulheres;Filhos Tidos Nascidos Vivos;Filhos tidos no ultimo ano;Ano
Paraíba;45 a 49 anos;81742;363426;329;2000
Paraíba;50 a 54 anos;72876;380846;111;2000
Paraíba;55 a 59 anos;62250;383184;111;2000
Paraíba;60 a 64 anos;58358;393252;0;2000
Paraíba;65 a 69 anos;40839;289394;0;2000
Paraíba;70 anos ou mais;95461;687675;0;2000
Pernambuco;10 a 14 anos;429324;2329;1250;2000
Pernambuco;15 a 19 anos;438605;85952;32737;2000
Pernambuco;20 a 24 anos;389475;328896;51481;2000
Pernambuco;25 a 29 anos;333565;516487;36344;2000
Pernambuco;30 a 34 anos;305178;678365;21324;2000
Pernambuco;35 a 39 anos;277050;767754;11032;2000
Pernambuco;40 a 44 anos;230618;771700;3795;2000
Pernambuco;45 a 49 anos;197119;793519;632;2000
Pernambuco;50 a 54 anos;170812;818355;224;2000
Pernambuco;55 a 59 anos;136791;762942;274;2000
Pernambuco;60 a 64 anos;123468;754715;0;2000
Pernambuco;65 a 69 anos;93496;600236;0;2000
Pernambuco;70 anos ou mais;180588;1133853;0;2000
Alagoas;10 a 14 anos;166243;1197;662;2000
Alagoas;15 a 19 anos;165253;38918;14348;2000
Alagoas;20 a 24 anos;140682;147220;21351;2000
Alagoas;25 a 29 anos;113356;212967;14213;2000
Alagoas;30 a 34 anos;102714;280470;7802;2000
Alagoas;35 a 39 anos;89847;312460;4761;2000
Alagoas;40 a 44 anos;74462;319562;1763;2000
Alagoas;45 a 49 anos;62522;316784;462;2000
Alagoas;50 a 54 anos;50722;294157;170;2000
Alagoas;55 a 59 anos;41291;280960;115;2000
Alagoas;60 a 64 anos;35085;239918;0;2000
Alagoas;65 a 69 anos;26934;193542;0;2000
Alagoas;70 anos ou mais;49286;344547;0;2000
Sergipe;10 a 14 anos;101237;505;225;2000
Sergipe;15 a 19 anos;102121;20535;7869;2000
Sergipe;20 a 24 anos;89174;75899;12030;2000
Sergipe;25 a 29 anos;75538;124262;9340;2000
Sergipe;30 a 34 anos;69083;168796;6073;2000
Sergipe;35 a 39 anos;60467;189281;3073;2000
Sergipe;40 a 44 anos;47928;184360;1031;2000
Sergipe;45 a 49 anos;39721;181940;205;2000
Sergipe;50 a 54 anos;32349;173889;67;2000
Sergipe;55 a 59 anos;25987;163003;43;2000
Sergipe;60 a 64 anos;21909;148455;0;2000
Sergipe;65 a 69 anos;17321;118707;0;2000
Sergipe;70 anos ou mais;34268;220768;0;2000
Bahia;10 a 14 anos;738154;4189;2129;2000
Bahia;15 a 19 anos;784122;148117;58734;2000
Bahia;20 a 24 anos;652942;544792;86127;2000
Bahia;25 a 29 anos;518217;811163;56712;2000
Bahia;30 a 34 anos;473931;1077648;33546;2000
Bahia;35 a 39 anos;424803;1272910;18012;2000
Bahia;40 a 44 anos;362624;1372968;6959;2000
Bahia;45 a 49 anos;293134;1322538;1415;2000
Bahia;50 a 54 anos;248755;1317306;507;2000
Bahia;55 a 59 anos;203310;1213716;191;2000
Bahia;60 a 64 anos;175872;1110572;0;2000
Bahia;65 a 69 anos;137662;871587;0;2000
Bahia;70 anos ou mais;275657;1694072;0;2000
Minas Gerais;10 a 14 anos;878342;2749;1611;2000
Minas Gerais;15 a 19 anos;922641;131449;54155;2000
Minas Gerais;20 a 24 anos;836592;572342;97686;2000
Minas Gerais;25 a 29 anos;718982;953963;76331;2000
Minas Gerais;30 a 34 anos;701168;1336821;51500;2000
Minas Gerais;35 a 39 anos;683598;1620705;26866;2000
Minas Gerais;40 a 44 anos;595452;1682410;8228;2000
Minas Gerais;45 a 49 anos;490602;1613069;1193;2000
Minas Gerais;50 a 54 anos;390403;1494063;283;2000
Minas Gerais;55 a 59 anos;316235;1450188;196;2000
Minas Gerais;60 a 64 anos;271911;1407389;0;2000
Minas Gerais;65 a 69 anos;221639;1231627;0;2000
Minas Gerais;70 anos ou mais;399033;2266410;0;2000
Espírito Santo;10 a 14 anos;155604;738;487;2000
Espírito Santo;15 a 19 anos;164572;27207;10689;2000
Espírito Santo;20 a 24 anos;151943;112837;18319;2000
Espírito Santo;25 a 29 anos;129401;177915;13196;2000
Espírito Santo;30 a 34 anos;124616;245515;7758;2000
Espírito Santo;35 a 39 anos;119976;287309;3865;2000
Espírito Santo;40 a 44 anos;104755;295964;960;2000
Espírito Santo;45 a 49 anos;83904;272662;128;2000
Espírito Santo;50 a 54 anos;62785;241401;26;2000
Espírito Santo;55 a 59 anos;48646;226009;19;2000
Espírito Santo;60 a 64 anos;42291;228153;0;2000
Espírito Santo;65 a 69 anos;34535;201220;0;2000
Espírito Santo;70 anos ou mais;58384;360417;0;2000
Rio de Janeiro;10 a 14 anos;594437;2639;1488;2000
Rio de Janeiro;15 a 19 anos;659306;110817;41058;2000
Rio de Janeiro;20 a 24 anos;659283;435937;69081;2000
Rio de Janeiro;25 a 29 anos;599408;714545;59821;2000
Rio de Janeiro;30 a 34 anos;584826;967527;40037;2000
Rio de Janeiro;35 a 39 anos;596937;1180946;22001;2000
Rio de Janeiro;40 a 44 anos;549839;1224677;6016;2000
Rio de Janeiro;45 a 49 anos;473989;1151010;772;2000
Rio de Janeiro;50 a 54 anos;386636;1065328;207;2000
Rio de Janeiro;55 a 59 anos;296462;940552;162;2000
Rio de Janeiro;60 a 64 anos;261272;918597;0;2000
Rio de Janeiro;65 a 69 anos;222852;834764;0;2000
Rio de Janeiro;70 anos ou mais;419182;1584608;0;2000
São Paulo;10 a 14 anos;1672321;5518;3009;2000
São Paulo;15 a 19 anos;1822191;269474;103377;2000
São Paulo;20 a 24 anos;1777787;1122791;181640;2000
São Paulo;25 a 29 anos;1619596;1963293;160837;2000
São Paulo;30 a 34 anos;1546067;2735133;108483;2000
São Paulo;35 a 39 anos;1491253;3235595;54547;2000
São Paulo;40 a 44 anos;1325256;3293712;13825;2000
São Paulo;45 a 49 anos;1102352;3033515;1721;2000
São Paulo;50 a 54 anos;879759;2736309;458;2000
São Paulo;55 a 59 anos;666508;2375941;287;2000
São Paulo;60 a 64 anos;564663;2222052;0;2000
São Paulo;65 a 69 anos;457255;1880322;0;2000
São Paulo;70 anos ou mais;843332;3625887;0;2000
Paraná;10 a 14 anos;460622;1652;944;2000
Paraná;15 a 19 anos;469632;82704;31905;2000
Paraná;20 a 24 anos;435577;326240;49769;2000
Paraná;25 a 29 anos;403844;562857;43039;2000
Paraná;30 a 34 anos;399455;774547;28729;2000
Paraná;35 a 39 anos;376136;892788;14377;2000
Paraná;40 a 44 anos;319379;887090;3654;2000
Paraná;45 a 49 anos;266366;855430;584;2000
Paraná;50 a 54 anos;213880;807811;141;2000
Paraná;55 a 59 anos;166740;756463;71;2000
Paraná;60 a 64 anos;139669;718498;0;2000
Paraná;65 a 69 anos;109977;610433;0;2000
Paraná;70 anos ou mais;179040;1037019;0;2000
Santa Catarina;10 a 14 anos;258441;913;547;2000
Santa Catarina;15 a 19 anos;263881;39941;15605;2000
Santa Catarina;20 a 24 anos;237701;163826;26537;2000
Santa Catarina;25 a 29 anos;220878;294330;23355;2000
Santa Catarina;30 a 34 anos;223756;420352;16016;2000
Santa Catarina;35 a 39 anos;220521;505855;8152;2000
Santa Catarina;40 a 44 anos;184231;493411;2519;2000
Santa Catarina;45 a 49 anos;151638;462558;259;2000
Santa Catarina;50 a 54 anos;119757;434258;54;2000
Santa Catarina;55 a 59 anos;88647;394966;32;2000
Santa Catarina;60 a 64 anos;73870;381385;0;2000
Santa Catarina;65 a 69 anos;60121;342988;0;2000
Santa Catarina;70 anos ou mais;102006;604166;0;2000
Rio Grande do Sul;10 a 14 anos;447564;1383;953;2000
Rio Grande do Sul;15 a 19 anos;475992;74495;29222;2000
Rio Grande do Sul;20 a 24 anos;425776;271619;43951;2000
Rio Grande do Sul;25 a 29 anos;386033;469027;39251;2000
Rio Grande do Sul;30 a 34 anos;399134;688637;32640;2000
Rio Grande do Sul;35 a 39 anos;416339;874729;19291;2000
Rio Grande do Sul;40 a 44 anos;375587;903184;5721;2000
Rio Grande do Sul;45 a 49 anos;322769;853351;612;2000
Rio Grande do Sul;50 a 54 anos;266715;790134;72;2000
Rio Grande do Sul;55 a 59 anos;210793;719261;39;2000
Rio Grande do Sul;60 a 64 anos;179391;699263;0;2000
Rio Grande do Sul;65 a 69 anos;150157;641904;0;2000
Rio Grande do Sul;70 anos ou mais;281825;1279044;0;2000
Mato Grosso do Sul;10 a 14 anos;106580;802;486;2000
Mato Grosso do Sul;15 a 19 anos;107908;26125;9489;2000
Mato Grosso do Sul;20 a 24 anos;97114;91111;13048;2000
Mato Grosso do Sul;25 a 29 anos;87960;143236;8999;2000
Mato Grosso do Sul;30 a 34 anos;83595;180935;5370;2000
Mato Grosso do Sul;35 a 39 anos;79642;206994;2239;2000
Mato Grosso do Sul;40 a 44 anos;65975;194089;588;2000
Mato Grosso do Sul;45 a 49 anos;52444;180866;129;2000
Mato Grosso do Sul;50 a 54 anos;40180;156817;34;2000
Mato Grosso do Sul;55 a 59 anos;32363;152780;36;2000
Mato Grosso do Sul;60 a 64 anos;26221;142636;0;2000
Mato Grosso do Sul;65 a 69 anos;19329;112233;0;2000
Mato Grosso do Sul;70 anos ou mais;32608;201769;0;2000
Mato Grosso;10 a 14 anos;133862;862;514;2000
Mato Grosso;15 a 19 anos;133078;33564;11199;2000
Mato Grosso;20 a 24 anos;124000;127616;18068;2000
Mato Grosso;25 a 29 anos;110690;189745;10887;2000
Mato Grosso;30 a 34 anos;101526;229532;4972;2000
Mato Grosso;35 a 39 anos;90007;242757;2078;2000
Mato Grosso;40 a 44 anos;72512;233084;586;2000
Mato Grosso;45 a 49 anos;55304;210642;146;2000
Mato Grosso;50 a 54 anos;41221;191703;34;2000
Mato Grosso;55 a 59 anos;31929;178578;23;2000
Mato Grosso;60 a 64 anos;24705;155477;0;2000
Mato Grosso;65 a 69 anos;17277;115322;0;2000
Mato Grosso;70 anos ou mais;25215;166706;0;2000
Goiás;10 a 14 anos;244238;1093;682;2000
Goiás;15 a 19 anos;260055;55647;20796;2000
Goiás;20 a 24 anos;254253;229297;33832;2000
Goiás;25 a 29 anos;229278;362176;22108;2000
Goiás;30 a 34 anos;214510;438985;10982;2000
Goiás;35 a 39 anos;192380;463531;4091;2000
Goiás;40 a 44 anos;157984;444259;986;2000
Goiás;45 a 49 anos;125730;413678;182;2000
Goiás;50 a 54 anos;98342;391175;25;2000
Goiás;55 a 59 anos;76300;367768;45;2000
Goiás;60 a 64 anos;64102;344238;0;2000
Goiás;65 a 69 anos;46082;266671;0;2000
Goiás;70 anos ou mais;72609;439815;0;2000
Distrito Federal;10 a 14 anos;95326;307;128;2000
Distrito Federal;15 a 19 anos;117613;17914;7304;2000
Distrito Federal;20 a 24 anos;123090;75625;13032;2000
Distrito Federal;25 a 29 anos;106639;123507;10196;2000
Distrito Federal;30 a 34 anos;95564;170139;7263;2000
Distrito Federal;35 a 39 anos;84148;188399;3213;2000
Distrito Federal;40 a 44 anos;67815;179372;811;2000
Distrito Federal;45 a 49 anos;54909;163070;104;2000
Distrito Federal;50 a 54 anos;41872;146979;9;2000
Distrito Federal;55 a 59 anos;27969;115542;35;2000
Distrito Federal;60 a 64 anos;22096;105727;0;2000
Distrito Federal;65 a 69 anos;14963;78784;0;2000
Distrito Federal;70 anos ou mais;24020;134539;0;2000
Brasil;10 a 14 anos;8440040;46063;21137;2010
Brasil;15 a 19 anos;8429180;1190788;419290;2010
Brasil;20 a 24 anos;8613199;5090081;729955;2010
Brasil;25 a 29 anos;8644127;9608337;671943;2010
Brasil;30 a 34 anos;8026535;13227989;479493;2010
Brasil;35 a 39 anos;7121014;14463194;242730;2010
Brasil;40 a 44 anos;6688525;15367645;74405;2010
Brasil;45 a 49 anos;6141925;15519239;13043;2010
Brasil;50 a 54 anos;5308482;15108857;5516;2010
Brasil;55 a 59 anos;4371889;14111458;4652;2010
Brasil;60 a 64 anos;3470156;12860435;0;2010
Brasil;65 a 69 anos;2627927;11353308;0;2010
Brasil;70 anos ou mais;5340618;26154243;0;2010
Rondônia;10 a 14 anos;76161;389;189;2010
Rondônia;15 a 19 anos;77219;12493;4707;2010
Rondônia;20 a 24 anos;74782;56765;7832;2010
Rondônia;25 a 29 anos;73261;104710;6866;2010
Rondônia;30 a 34 anos;66659;136178;3435;2010
Rondônia;35 a 39 anos;58622;140092;1615;2010
Rondônia;40 a 44 anos;51148;136098;331;2010
Rondônia;45 a 49 anos;43496;132937;43;2010
Rondônia;50 a 54 anos;34829;125635;33;2010
Rondônia;55 a 59 anos;26270;112466;11;2010
Rondônia;60 a 64 anos;18640;97742;0;2010
Rondônia;65 a 69 anos;13667;87080;0;2010
Rondônia;70 anos ou mais;21645;151731;0;2010
Acre;10 a 14 anos;43260;423;224;2010
Acre;15 a 19 anos;38543;9569;3201;2010
Acre;20 a 24 anos;35147;34179;3830;2010
Acre;25 a 29 anos;34049;58951;3154;2010
Acre;30 a 34 anos;29977;72934;2260;2010
Acre;35 a 39 anos;23941;71640;1003;2010
Acre;40 a 44 anos;19988;67168;379;2010
Acre;45 a 49 anos;15716;59295;99;2010
Acre;50 a 54 anos;13208;54529;21;2010
Acre;55 a 59 anos;10067;47938;9;2010
Acre;60 a 64 anos;7342;40789;0;2010
Acre;65 a 69 anos;6035;37939;0;2010
Acre;70 anos ou mais;9855;69843;0;2010
Amazonas;10 a 14 anos;197279;2751;1231;2010
Amazonas;15 a 19 anos;182215;44285;14853;2010
Amazonas;20 a 24 anos;169198;156926;21122;2010
Amazonas;25 a 29 anos;162253;265662;17164;2010
Amazonas;30 a 34 anos;143038;328559;9994;2010
Amazonas;35 a 39 anos;115961;319170;4720;2010
Amazonas;40 a 44 anos;93727;298215;1453;2010
Amazonas;45 a 49 anos;77188;276350;425;2010
Amazonas;50 a 54 anos;61295;240693;98;2010
Amazonas;55 a 59 anos;48812;221721;65;2010
Amazonas;60 a 64 anos;35018;173222;0;2010
Amazonas;65 a 69 anos;25659;149205;0;2010
Amazonas;70 anos ou mais;47678;289327;0;2010
Roraima;10 a 14 anos;25822;306;130;2010
Roraima;15 a 19 anos;23025;5928;1882;2010
Roraima;20 a 24 anos;21709;19977;2606;2010
Roraima;25 a 29 anos;21721;35122;1916;2010
Roraima;30 a 34 anos;18627;42722;1314;2010
Roraima;35 a 39 anos;14801;41883;568;2010
Roraima;40 a 44 anos;12299;39216;188;2010
Roraima;45 a 49 anos;10298;34768;28;2010
Roraima;50 a 54 anos;7972;31195;11;2010
Roraima;55 a 59 anos;6218;28765;14;2010
Roraima;60 a 64 anos;4160;19361;0;2010
Roraima;65 a 69 anos;2854;15952;0;2010
Roraima;70 anos ou mais;4621;27999;0;2010
Pará;10 a 14 anos;410664;3430;1605;2010
Pará;15 a 19 anos;390372;91614;30252;2010
Pará;20 a 24 anos;373533;349677;46853;2010
Pará;25 a 29 anos;354521;580980;32732;2010
Pará;30 a 34 anos;307276;680639;16392;2010
Pará;35 a 39 anos;254986;673193;7687;2010
Pará;40 a 44 anos;213632;651369;2332;2010
Pará;45 a 49 anos;174191;613746;505;2010
Pará;50 a 54 anos;144830;588084;215;2010
Pará;55 a 59 anos;116531;536736;203;2010
Pará;60 a 64 anos;85636;439081;0;2010
Pará;65 a 69 anos;67172;390264;0;2010
Pará;70 anos ou mais;120611;736472;0;2010
Amapá;10 a 14 anos;39262;342;170;2010
Amapá;15 a 19 anos;36714;8387;2838;2010
Amapá;20 a 24 anos;34442;30173;3901;2010
Amapá;25 a 29 anos;32686;53390;3159;2010
Amapá;30 a 34 anos;28205;67148;2022;2010
Amapá;35 a 39 anos;23411;67517;1156;2010
Amapá;40 a 44 anos;18421;61314;267;2010
Amapá;45 a 49 anos;14196;55262;53;2010
Amapá;50 a 54 anos;11057;49542;12;2010
Amapá;55 a 59 anos;8254;42191;14;2010
Amapá;60 a 64 anos;5426;30781;0;2010
Amapá;65 a 69 anos;4430;29320;0;2010
Amapá;70 anos ou mais;7822;53672;0;2010
Tocantins;10 a 14 anos;70463;451;235;2010
Tocantins;15 a 19 anos;68561;14474;4908;2010
Tocantins;20 a 24 anos;65462;56395;7333;2010
Tocantins;25 a 29 anos;62704;100490;6012;2010
Tocantins;30 a 34 anos;57698;124538;3284;2010
Tocantins;35 a 39 anos;47049;117566;1183;2010
Tocantins;40 a 44 anos;42076;117472;356;2010
Tocantins;45 a 49 anos;34861;112730;50;2010
Tocantins;50 a 54 anos;29127;114556;50;2010
Tocantins;55 a 59 anos;22259;103519;28;2010
Tocantins;60 a 64 anos;17375;94728;0;2010
Tocantins;65 a 69 anos;13717;84548;0;2010
Tocantins;70 anos ou mais;25017;158828;0;2010
Maranhão;10 a 14 anos;357650;2883;1407;2010
Maranhão;15 a 19 anos;339382;75507;24646;2010
Maranhão;20 a 24 anos;329327;307890;41590;2010
Maranhão;25 a 29 anos;301630;506766;28107;2010
Maranhão;30 a 34 anos;254663;584722;14422;2010
Maranhão;35 a 39 anos;205686;548358;5969;2010
Maranhão;40 a 44 anos;182567;564359;1836;2010
Maranhão;45 a 49 anos;157652;575633;532;2010
Maranhão;50 a 54 anos;132832;576528;234;2010
Maranhão;55 a 59 anos;113463;566668;242;2010
Maranhão;60 a 64 anos;89314;489710;0;2010
Maranhão;65 a 69 anos;69397;412460;0;2010
Maranhão;70 anos ou mais;136138;831122;0;2010
Piauí;10 a 14 anos;151454;617;368;2010
Piauí;15 a 19 anos;149871;24368;9272;2010
Piauí;20 a 24 anos;152956;106490;15713;2010
Piauí;25 a 29 anos;140465;191233;11788;2010
Piauí;30 a 34 anos;126611;241054;6990;2010
Piauí;35 a 39 anos;106392;239884;3188;2010
Piauí;40 a 44 anos;98826;260150;904;2010
Piauí;45 a 49 anos;88646;273792;132;2010
Piauí;50 a 54 anos;75969;287955;80;2010
Piauí;55 a 59 anos;65082;293732;113;2010
Piauí;60 a 64 anos;51940;277450;0;2010
Piauí;65 a 69 anos;41319;248791;0;2010
Piauí;70 anos ou mais;85061;562312;0;2010
Ceará;10 a 14 anos;416282;2169;913;2010
Ceará;15 a 19 anos;421265;57415;20193;2010
Ceará;20 a 24 anos;416392;247973;34824;2010
Ceará;25 a 29 anos;378568;439673;30162;2010
Ceará;30 a 34 anos;337976;599509;20437;2010
Ceará;35 a 39 anos;298600;662476;10812;2010
Ceará;40 a 44 anos;282238;737566;3703;2010
Ceará;45 a 49 anos;250651;760598;858;2010
Ceará;50 a 54 anos;201189;721394;299;2010
Ceará;55 a 59 anos;168847;695351;244;2010
Ceará;60 a 64 anos;142333;675954;0;2010
Ceará;65 a 69 anos;113271;616898;0;2010
Ceará;70 anos ou mais;247515;1545516;0;2010
Rio Grande do Norte;10 a 14 anos;143979;532;305;2010
Rio Grande do Norte;15 a 19 anos;147365;21173;7269;2010
Rio Grande do Norte;20 a 24 anos;154457;96175;13493;2010
Rio Grande do Norte;25 a 29 anos;145247;171103;11520;2010
Rio Grande do Norte;30 a 34 anos;129107;225401;7578;2010
Rio Grande do Norte;35 a 39 anos;115149;250665;3651;2010
