UF;Grupos.de.idade;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Maranhão;50 a 54 anos;91249;94327;98006;102048;106088;109903;113529;116933;120230;123620;127214
Maranhão;55 a 59 anos;77763;79053;80327;81765;83612;85999;88911;92388;96206;100020;103619
Mato Grosso;10 a 14 anos;134444;135054;135867;136737;137425;137759;137732;137296;136367;134863;132643
Mato Grosso;15 a 19 anos;133385;134620;135247;135490;135724;136172;136795;137614;138489;139181;139519
Mato Grosso;20 a 24 anos;123811;126534;129310;131976;134277;136065;137323;137960;138204;138433;138869
Mato Grosso;25 a 29 anos;113181;115577;118029;120551;123167;125877;128639;131449;134142;136462;138258
Mato Grosso;30 a 34 anos;102467;104702;106927;109166;111449;113794;116205;118672;121209;123841;126565
Mato Grosso;35 a 39 anos;89965;92766;95332;97718;100010;102268;104497;106716;108948;111223;113562
Mato Grosso;40 a 44 anos;72946;76353;79787;83170;86398;89403;92189;94742;97116;99395;101640
Mato Grosso;45 a 49 anos;55949;59028;62203;65459;68779;72138;75523;78934;82293;85499;88481
Mato Grosso;50 a 54 anos;41715;44012;46489;49134;51929;54861;57911;61057;64285;67573;70904
Mato Grosso;55 a 59 anos;31489;32981;34595;36349;38264;40350;42612;45049;47653;50406;53294
Mato Grosso do Sul;10 a 14 anos;107067;107337;108031;108971;109850;110446;110724;110603;109988;108788;106870
Mato Grosso do Sul;15 a 19 anos;107921;108703;108621;108023;107493;107390;107662;108358;109300;110181;110780
Mato Grosso do Sul;20 a 24 anos;97197;99545;102273;105053;107376;108933;109733;109661;109068;108540;108434
Mato Grosso do Sul;25 a 29 anos;90190;91725;93199;94723;96479;98552;100934;103697;106512;108865;110443
Mato Grosso do Sul;30 a 34 anos;84434;85499;86761;88184;89684;91216;92762;94250;95789;97563;99656
Mato Grosso do Sul;35 a 39 anos;79610;81106;82137;82874;83603;84507;85572;86833;88253;89751;91281
Mato Grosso do Sul;40 a 44 anos;66437;69171;72006;74770;77204;79157;80665;81705;82454;83192;84104
Mato Grosso do Sul;45 a 49 anos;53108;55579;58037;60515;63071;65726;68459;71293;74054;76488;78445
Mato Grosso do Sul;50 a 54 anos;40696;42698;44878;47200;49599;52033;54490;56934;59397;61938;64576
Mato Grosso do Sul;55 a 59 anos;31839;33120;34497;35992;37639;39454;41436;43594;45890;48263;50673
Minas Gerais;10 a 14 anos;880846;871552;864550;859269;854414;849183;843968;838914;833909;828806;823197
Minas Gerais;15 a 19 anos;922501;920525;911335;897609;883691;872392;863215;856304;851086;846276;841085
Minas Gerais;20 a 24 anos;835732;855965;875884;893362;905406;910269;908305;899180;885540;871719;860500
Minas Gerais;25 a 29 anos;731853;745895;763991;784860;806452;827209;847308;867110;884507;896508;901380
Minas Gerais;30 a 34 anos;707003;708459;709507;711665;717087;727024;741098;759204;780067;801653;822410
Minas Gerais;35 a 39 anos;682635;690661;695757;698662;700544;702324;703920;705106;707393;712918;722935
Minas Gerais;40 a 44 anos;597740;615839;633655;650318;664551;675635;683774;689014;692083;694135;696081
Minas Gerais;45 a 49 anos;493811;512908;531982;550933;569682;588090;606101;623839;640442;654646;665742
Minas Gerais;50 a 54 anos;393878;410534;427863;445759;464122;482835;501726;520598;539357;557927;576162
Minas Gerais;55 a 59 anos;314117;324713;337089;350985;365937;381631;398067;415171;432835;450963;469444
Pará;10 a 14 anos;374780;376181;378806;382283;385891;389153;392097;394632;396622;397888;398103
Pará;15 a 19 anos;364794;368576;369337;368263;367315;367718;369247;371980;375551;379253;382616
Pará;20 a 24 anos;306919;317914;329905;341712;351517;358248;362158;363080;362185;361415;361985
Pará;25 a 29 anos;257771;266094;274350;282845;292076;302255;313256;325258;337092;346959;353793
Pará;30 a 34 anos;215363;222531;229990;237717;245681;253869;262194;270462;278974;288227;298431
Pará;35 a 39 anos;180348;186063;192081;198399;204992;211845;218969;226386;234079;242015;250177
Pará;40 a 44 anos;151479;156635;161628;166583;171692;177080;182749;188717;194980;201516;208307
Pará;45 a 49 anos;121160;126638;132075;137444;142734;147954;153063;158016;162937;168012;173362
Pará;50 a 54 anos;91384;95682;100670;106126;111694;117144;122542;127911;133222;138469;143655
Pará;55 a 59 anos;74044;76321;78485;80786;83595;87129;91315;96167;101470;106882;112187
Paraíba;10 a 14 anos;193562;190183;186513;182756;179157;175934;173117;170757;169016;168029;167792
Paraíba;15 a 19 anos;192455;192776;191993;190299;188047;185500;182639;179479;176220;173105;170351
Paraíba;20 a 24 anos;163720;168779;173808;178349;181759;183636;184254;183804;182462;180577;178401
Paraíba;25 a 29 anos;136681;140132;144385;149251;154400;159564;164705;169836;174510;178084;180157
Paraíba;30 a 34 anos;127465;128846;129824;130817;132455;135126;138682;143036;148004;153262;158539
Paraíba;35 a 39 anos;114132;117274;120055;122475;124548;126331;127800;128871;129954;131678;134429
Paraíba;40 a 44 anos;93808;97123;100986;105117;109090;112632;115800;118615;121075;123192;125022
Paraíba;45 a 49 anos;82008;83464;85045;86883;89162;91974;95290;99146;103269;107242;110791
Paraíba;50 a 54 anos;73559;75043;76264;77345;78490;79835;81344;82972;84848;87154;89982
Paraíba;55 a 59 anos;61586;62780;64588;66753;68845;70617;72136;73406;74542;75740;77130
Paraná;10 a 14 anos;462272;461106;461057;461662;462103;461806;460734;458741;455613;451111;444933
Paraná;15 a 19 anos;469462;469754;467538;463884;460562;458666;457901;458246;459239;460070;460166
Paraná;20 a 24 anos;435581;441734;448728;455598;460884;463720;464266;462319;458946;455903;454282
Paraná;25 a 29 anos;409460;412106;415681;420126;425292;430992;437293;444439;451467;456924;459947
Paraná;30 a 34 anos;401367;402926;403561;403858;404646;406466;409249;412956;417524;422810;428623
Paraná;35 a 39 anos;376082;383066;388556;392708;395833;398191;399715;400314;400569;401304;403059
Paraná;40 a 44 anos;320442;331119;342339;353479;363583;372049;379006;384479;388624;391746;394107
Paraná;45 a 49 anos;268102;277768;287008;296121;305620;315763;326417;337603;348708;358787;367243
Paraná;50 a 54 anos;213172;222473;232286;242397;252490;262370;271993;281203;290292;299759;309863
Paraná;55 a 59 anos;168019;174458;181512;189164;197380;206118;215352;225090;235123;245143;254963
Pernambuco;10 a 14 anos;431635;426171;421162;416754;412998;410010;407912;406792;406835;408143;410528
Pernambuco;15 a 19 anos;438886;438495;435362;430331;424814;419769;415069;410793;407091;404018;401693
Pernambuco;20 a 24 anos;389367;398094;407346;415987;422294;425240;425320;422700;418205;413227;408706
Pernambuco;25 a 29 anos;343341;350202;357236;364575;372438;380842;389655;399010;407784;414270;417447
Pernambuco;30 a 34 anos;308756;314159;319647;325360;331458;338040;344993;352129;359578;367556;376084
Pernambuco;35 a 39 anos;276849;283245;288868;293984;299051;304377;309857;315429;321230;327419;334097
Pernambuco;40 a 44 anos;232985;240469;248636;257055;265054;272231;278679;284376;289583;294751;300183
Pernambuco;45 a 49 anos;198982;203935;209109;214658;220806;227660;235157;243333;251768;259806;267051
Pernambuco;50 a 54 anos;169841;174609;179023;183262;187641;192358;197357;202578;208173;214363;221255
Pernambuco;55 a 59 anos;137252;140902;145726;151279;156826;161934;166716;171171;175469;179910;184687
Piauí;10 a 14 anos;174060;169542;164220;158581;153306;148940;145580;143390;142722;143906;147197
Piauí;15 a 19 anos;170870;171579;171254;169867;167412;163971;159670;154590;149202;144173;140030
Piauí;20 a 24 anos;139487;144958;150154;154668;157952;159652;160076;159522;157963;155392;151884
Piauí;25 a 29 anos;109230;113067;117732;122977;128403;133695;138758;143555;147691;150628;152024
Piauí;30 a 34 anos;99206;100255;101093;102096;103825;106611;110306;114812;119885;125132;130242
Piauí;35 a 39 anos;90338;92099;93681;95083;96314;97414;98375;99122;100026;101639;104289
Piauí;40 a 44 anos;77665;79893;82215;84532;86689;88590;90273;91774;93095;94243;95256
Piauí;45 a 49 anos;65764;67738;69681;71628;73644;75762;77963;80256;82543;84670;86547
Piauí;50 a 54 anos;54048;55875;57785;59749;61727;63696;65650;67577;69510;71516;73619
Piauí;55 a 59 anos;44519;45542;46822;48316;49944;51656;53452;55330;57261;59206;61146
Rio de Janeiro;10 a 14 anos;598878;598220;602441;610108;618648;626244;633110;639059;643370;645290;643973
Rio de Janeiro;15 a 19 anos;659956;652938;641110;627322;616007;609935;608612;612208;619280;627255;634299
Rio de Janeiro;20 a 24 anos;659078;665059;670237;673662;673966;670511;663056;650778;636553;624827;618376
Rio de Janeiro;25 a 29 anos;619954;627634;636267;645201;653532;660589;666520;671635;674976;675177;671610
Rio de Janeiro;30 a 34 anos;593744;594925;598142;603127;609294;616180;623925;632619;641611;649999;657114
Rio de Janeiro;35 a 39 anos;596959;597052;594669;591124;588424;587854;589246;592653;597808;604134;611174
Rio de Janeiro;40 a 44 anos;555407;564920;573615;580968;586176;588858;589199;587085;583816;581381;581053
Rio de Janeiro;45 a 49 anos;482882;496864;510120;522571;534146;544768;554441;563318;570879;576324;579280
Rio de Janeiro;50 a 54 anos;391791;408781;424849;440104;454892;469385;483352;496628;509137;520808;531561
Rio de Janeiro;55 a 59 anos;294540;306735;322435;340416;358757;376224;392961;408839;423958;438644;453064
Rio Grande do Norte;10 a 14 anos;156142;154688;152851;150814;148812;147046;145587;144521;143992;144124;144938
Rio Grande do Norte;15 a 19 anos;153490;155447;156431;156558;156077;155177;153860;152162;150261;148393;146757
Rio Grande do Norte;20 a 24 anos;130993;135334;140105;144868;148972;152005;154057;155141;155378;155012;154228
Rio Grande do Norte;25 a 29 anos;114849;117029;119669;122777;126349;130332;134700;139500;144296;148441;151523
Rio Grande do Norte;30 a 34 anos;109300;110286;111080;111906;113071;114772;116971;119629;122757;126350;130351
Rio Grande do Norte;35 a 39 anos;100099;103073;105309;106944;108239;109380;110346;111123;111931;113076;114757
Rio Grande do Norte;40 a 44 anos;78385;82533;87165;91929;96296;99940;102887;105097;106709;107980;109098
Rio Grande do Norte;45 a 49 anos;63699;65623;67992;70822;74107;77807;81932;86532;91258;95589;99203
Rio Grande do Norte;50 a 54 anos;57683;58974;59759;60338;61191;62626;64543;66896;69701;72954;76616
Rio Grande do Norte;55 a 59 anos;45062;46883;49276;51913;54262;56021;57297;58083;58668;59522;60937
Rio Grande do Sul;10 a 14 anos;449024;445015;443094;442582;442182;441019;439249;436825;433493;428987;422990
Rio Grande do Sul;15 a 19 anos;476190;475132;469054;460001;451347;445220;441137;439124;438506;437996;436721
Rio Grande do Sul;20 a 24 anos;425813;436063;447692;458864;466857;470065;468700;462345;453045;444155;437780
Rio Grande do Sul;25 a 29 anos;390059;392473;396973;403318;411103;419875;429662;440809;451494;459021;461798
Rio Grande do Sul;30 a 34 anos;401494;396365;391512;387585;385403;385468;387687;391959;398051;405554;414023
Rio Grande do Sul;35 a 39 anos;416632;416466;413379;408246;402468;397045;391904;387027;383058;380811;380784
Rio Grande do Sul;40 a 44 anos;376768;385722;394737;402868;408678;411344;411113;407981;402818;397011;391553
Rio Grande do Sul;45 a 49 anos;324913;334580;343815;352747;361620;370500;379297;388141;396095;401747;404285
Rio Grande do Sul;50 a 54 anos;267331;277609;287733;297703;307577;317376;326940;336076;344908;353680;362456
Rio Grande do Sul;55 a 59 anos;210527;218571;227799;237851;248173;258398;268543;278540;288389;298144;307822
Rondônia;10 a 14 anos;79513;79863;80253;80629;80884;80951;80818;80471;79884;79017;77811
Rondônia;15 a 19 anos;77247;78204;78722;78941;79107;79365;79673;80022;80354;80567;80591
Rondônia;20 a 24 anos;68113;70121;72294;74450;76311;77702;78659;79171;79384;79534;79772
Rondônia;25 a 29 anos;60934;62326;63729;65211;66880;68786;70876;73132;75367;77307;78773
Rondônia;30 a 34 anos;53993;55353;56716;58090;59470;60864;62287;63722;65240;66947;68893
Rondônia;35 a 39 anos;46473;48094;49604;51026;52404;53767;55119;56476;57840;59214;60600
Rondônia;40 a 44 anos;37111;38882;40730;42607;44441;46184;47831;49365;50810;52209;53593
Rondônia;45 a 49 anos;28429;30024;31584;33142;34750;36441;38206;40045;41908;43724;45445
Rondônia;50 a 54 anos;20191;21433;22872;24441;26041;27604;29140;30641;32138;33679;35298
Rondônia;55 a 59 anos;15628;16257;16874;17542;18353;19361;20554;21935;23441;24974;26469
Roraima;10 a 14 anos;19197;19906;20720;21597;22458;23249;23974;24618;25163;25585;25845
Roraima;15 a 19 anos;18741;19340;19760;20079;20426;20886;21440;22089;22786;23455;24044
Roraima;20 a 24 anos;16286;17108;17988;18870;19664;20318;20819;21128;21324;21546;21873
Roraima;25 a 29 anos;13910;14523;15154;15810;16505;17241;18019;18846;19664;20386;20958
Roraima;30 a 34 anos;11775;12297;12837;13390;13941;14487;15041;15608;16196;16822;17485
Roraima;35 a 39 anos;10160;10578;10966;11342;11737;12168;12619;13087;13569;14042;14503
Roraima;40 a 44 anos;8007;8534;9048;9537;9985;10381;10739;11066;11378;11709;12074
Roraima;45 a 49 anos;5818;6271;6739;7216;7696;8174;8642;9091;9512;9889;10210
Roraima;50 a 54 anos;4019;4359;4713;5084;5468;5866;6277;6701;7130;7559;7982
Roraima;55 a 59 anos;2718;2916;3149;3412;3699;4003;4321;4652;4998;5355;5726
Santa Catarina;10 a 14 anos;259678;260007;260961;262268;263434;264108;264313;263990;263010;261229;258477
Santa Catarina;15 a 19 anos;263775;266452;267232;266825;266469;266927;267993;269676;271713;273605;275000
Santa Catarina;20 a 24 anos;237729;243839;251249;259101;266064;271313;274885;276522;276930;277351;278560
Santa Catarina;25 a 29 anos;225703;227437;229812;233035;237388;242989;249795;257919;266490;274162;280088
Santa Catarina;30 a 34 anos;225670;225945;226222;226693;227571;229013;231087;233814;237406;242149;248163
Santa Catarina;35 a 39 anos;220351;224047;226167;227125;227635;228179;228695;229199;229890;230982;232638
Santa Catarina;40 a 44 anos;185244;192833;201057;209249;216384;221836;225731;228026;229135;229771;230430
Santa Catarina;45 a 49 anos;153390;159730;165808;171888;178401;185565;193273;201595;209861;217047;222531
Santa Catarina;50 a 54 anos;119573;126060;132656;139292;145892;152412;158792;164908;171024;177563;184738
Santa Catarina;55 a 59 anos;89099;93643;99010;104999;111285;117643;124109;130678;137282;143849;150328
São Paulo;10 a 14 anos;1682548;1668384;1658436;1651998;1647115;1642654;1640238;1641007;1644967;1652059;1661973
São Paulo;15 a 19 anos;1822908;1820445;1805327;1782024;1757691;1737088;1719912;1706990;1697641;1689933;1682747
São Paulo;20 a 24 anos;1778775;1806019;1832925;1856654;1873088;1879920;1875991;1859172;1834008;1807718;1785116
São Paulo;25 a 29 anos;1659430;1684274;1711736;1740795;1770022;1798228;1825526;1852384;1875937;1892051;1898438
São Paulo;30 a 34 anos;1562337;1576435;1592801;1611483;1632302;1654984;1679907;1707420;1736510;1765739;1793927
São Paulo;35 a 39 anos;1490772;1507001;1519012;1528629;1538650;1550911;1565294;1581911;1600810;1621820;1644663
São Paulo;40 a 44 anos;1335624;1369808;1401641;1430471;1455416;1476090;1492706;1505143;1515198;1525634;1538274
São Paulo;45 a 49 anos;1116679;1158248;1199787;1240604;1279708;1316414;1350731;1382738;1411793;1437013;1458004
São Paulo;50 a 54 anos;887882;930008;970866;1010913;1051208;1092275;1133575;1174854;1215436;1254341;1290894
São Paulo;55 a 59 anos;662292;693296;731179;773727;817373;859848;901433;941809;981420;1021290;1061925
Sergipe;10 a 14 anos;101538;100989;100570;100291;100137;100111;100250;100585;101142;101952;102965
Sergipe;15 a 19 anos;102117;102712;102639;102105;101475;100990;100611;100359;100247;100257;100394
Sergipe;20 a 24 anos;89471;92083;94851;97511;99664;101071;101814;101892;101511;101036;100699
